"Parcel ID","Year Built","Building Area","CITYAREA","TOWNSHIPCODE","CITYTWNAREA","Occupancy","Lot Area (sf)","Sale Date","Sale Price","Recording","Assessed Value","Address","Multi Parcel Sale","Vacant","Appr_Total"
"1227455003","2023","3280","WAUKEE","16","WAUKEE","Auto / Truck Wash (Full Service)","55757","1/17/2023 12:00:00 AM","1115136","2023-744","1870","555 E HICKMAN RD, WAUKEE","","N","2373030"
"0210255005","1980","8528","PERRY","12","PERRY","Gymnasium","1087257.6","","","","3907340","1800 PATTEE ST, PERRY","","Y","3907340"
"0210305001","1938","2560","PERRY","12","PERRY","Fraternal Building","7000","2/4/2022 12:00:00 AM","0","2022-2636","187850","1324 1ST AVE, PERRY","","Y","187850"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","1/8/2009 12:00:00 AM","0","2009-884","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","4/18/2017 12:00:00 AM","15000","2017-7021","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","1/31/2019 12:00:00 AM","17000","2019-1757","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","3/9/2019 12:00:00 AM","0","2019-3821","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","11/20/2019 12:00:00 AM","21000","2019-22545","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","2/4/1992 12:00:00 AM","8000","710-233","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","8/18/1989 12:00:00 AM","3000","674-227","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","5/26/1978 12:00:00 AM","17500","551-399","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","8/8/2000 12:00:00 AM","1300","2000-8303","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","6/29/2000 12:00:00 AM","456","2000-7780","24110","1318 2ND ST, PERRY","","N","24110"
"0210306003","1931","504","PERRY","12","PERRY","Store - Retail Small","3500","5/21/2021 12:00:00 AM","0","2021-15101","24110","1318 2ND ST, PERRY","","N","24110"
"0210306014","1951","4228","PERRY","12","PERRY","Church","14000","","","","1194010","1224 LUCINDA ST, PERRY","","Y","1194010"
"1521484021","1905","1380","VAN METER","15","VAN METER","Post Office","8514","","","","176090","409 GRANT ST, VAN METER","","N","176090"
"1521484020","1955","1500","VAN METER","15","VAN METER","Shop","7157.75","12/9/2021 12:00:00 AM","144900","2021-36906","101690","517 WEST ST, VAN METER","Y","N","101690"
"1304143005","1900","1365","","13","REDFIELD","Store - Retail Small","1680","6/21/2016 12:00:00 AM","250000","2016-10513","17220"," ","Y","N","17220"
"1304143005","1900","1365","","13","REDFIELD","Store - Retail Small","1680","12/19/2005 12:00:00 AM","0","2006-1125","17220"," ","","N","17220"
"1304143005","1900","1365","","13","REDFIELD","Store - Retail Small","1680","7/3/2019 12:00:00 AM","0","2019-13302","17220"," ","Y","N","17220"
"1304143005","1900","1365","","13","REDFIELD","Store - Retail Small","1680","1/23/2023 12:00:00 AM","275000","2024-03519","17220"," ","Y","N","17220"
"1304143005","1900","1365","","13","REDFIELD","Store - Retail Small","1680","6/24/2003 12:00:00 AM","5500","2003-12314","17220"," ","Y","N","17220"
"1304143005","1900","1365","","13","REDFIELD","Store - Retail Small","1680","8/30/2000 12:00:00 AM","0","","17220"," ","","N","17220"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","6/21/2016 12:00:00 AM","250000","2016-10513","94610","904 1ST ST, REDFIELD","Y","N","94610"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","9/20/1999 12:00:00 AM","10000","1999-10763","94610","904 1ST ST, REDFIELD","","N","94610"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","9/12/1993 12:00:00 AM","3250","750-894","94610","904 1ST ST, REDFIELD","","N","94610"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","7/3/2019 12:00:00 AM","0","2019-13302","94610","904 1ST ST, REDFIELD","Y","N","94610"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","1/23/2023 12:00:00 AM","275000","2024-03519","94610","904 1ST ST, REDFIELD","Y","N","94610"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","12/19/2005 12:00:00 AM","0","2006-1131","94610","904 1ST ST, REDFIELD","Y","N","94610"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","6/24/2003 12:00:00 AM","5500","2003-12314","94610","904 1ST ST, REDFIELD","Y","N","94610"
"1304143006","1901","2000","REDFIELD","13","REDFIELD","Restaurant","1742.4","8/30/2000 12:00:00 AM","0","","94610","904 1ST ST, REDFIELD","","N","94610"
"0723400006","2018","6400","DALLAS CENTER","30","SUGAR GROVE TWP","Clubhouse","195148.8","10/3/2002 12:00:00 AM","0","2002-14826","889760","21663 R AVE, DALLAS CENTER","","N","889760"
"0723400006","2018","6400","DALLAS CENTER","30","SUGAR GROVE TWP","Clubhouse","195148.8","8/20/1997 12:00:00 AM","0","846-251","889760","21663 R AVE, DALLAS CENTER","","N","889760"
"0723400006","2018","6400","DALLAS CENTER","30","SUGAR GROVE TWP","Clubhouse","195148.8","11/3/1970 12:00:00 AM","0","","889760","21663 R AVE, DALLAS CENTER","","N","889760"
"0723400006","2018","6400","DALLAS CENTER","30","SUGAR GROVE TWP","Clubhouse","195148.8","4/11/2017 12:00:00 AM","0","2017-7305","889760","21663 R AVE, DALLAS CENTER","","N","889760"
"0723400006","2018","6400","DALLAS CENTER","30","SUGAR GROVE TWP","Clubhouse","195148.8","9/9/2021 12:00:00 AM","0","2021-26594","889760","21663 R AVE, DALLAS CENTER","","N","889760"
